,incentive,information,Merit_std,Wealth_std,Tuition_Prestige_Corr,Total_Revenue
89,0.5,Perfect information,0.09155841691842784,0.19911538962631123,0.9987250011754842,187.95400750685303
90,0.75,No information,0.047372666889985815,0.16375474233230014,0.9979503448378944,120.64807957729387
91,0.75,No information,0.16867874419155332,0.17046087764516865,0.9986778712188337,208.43318650358412
92,0.75,No information,0.12776900151006054,0.20881094837129818,0.9998997939011925,168.88380175354766
93,0.75,No information,0.09757363987821976,0.06570685156511713,0.7170372643712783,262.9562546984743
94,0.75,No information,0.11483939834543397,0.07452053501544437,0.3822843877135216,271.09273450254807
95,0.75,No information,0.12329530903827488,0.22123962066485156,0.9996367511225211,179.18326038288404
96,0.75,No information,0.1298184863443555,0.08484304323918501,0.9666417311395314,258.0634989090392
97,0.75,No information,0.19640717174367148,0.17165395847907883,0.9842539293300779,250.09461304467618
98,0.75,No information,0.047017409729338766,0.13136471958673274,0.9984711992070487,170.73209793627993
99,0.75,No information,0.04929639655467369,0.14428467929712502,0.9795411916621849,178.9520513973586
100,0.75,Partial information,0.0911588327345256,0.16399276901624704,0.9983371664174787,160.96525606807114
101,0.75,Partial information,0.14161538295882145,0.15616063551591378,0.9846563381591006,205.87440610866201
102,0.75,Partial information,0.14987008319714684,0.13936552660095405,0.9421107180475459,233.81728308944759
103,0.75,Partial information,0.13853070382650834,0.169636859414782,0.9974566798752792,254.3315412947016
104,0.75,Partial information,0.11766342355273181,0.2005241352919666,0.9986422837004207,144.80260762875034
105,0.75,Partial information,0.12585704361390782,0.13306358146056546,0.9815433945208382,228.78426104886134
106,0.75,Partial information,0.14288832381849853,0.20623563836549685,0.992930918429775,161.1433019487076
107,0.75,Partial information,0.14394612765432452,0.2302075581507926,0.998849715246353,152.65349642711863
108,0.75,Partial information,0.1557101294151196,0.1661957327920551,0.7389086843031025,226.203479647368
109,0.75,Partial information,0.16022138840734534,0.17707682020252669,0.9956626014767163,212.65899756614857
110,0.75,Perfect information,0.16849548447101903,0.10443408945864553,0.9973112917516522,264.8372368866498
111,0.75,Perfect information,0.1436570206754083,0.1857993148069647,0.9984756135350975,236.11179729598194
112,0.75,Perfect information,0.08543299623267298,0.12293062768841041,-0.6209447695060707,216.08878642092023
113,0.75,Perfect information,0.15171577698099703,0.1685260531617915,0.9994014587219665,238.8318617730235
114,0.75,Perfect information,0.20369955434554082,0.2207503840316786,0.9657393053217452,196.33293029663486
115,0.75,Perfect information,0.09884613587510227,0.16557194448209048,0.9362403064450131,182.59339991775886
116,0.75,Perfect information,0.1487580328082422,0.17091279845336182,0.998430423129064,225.31477503496635
117,0.75,Perfect information,0.15164572789725586,0.1771062273221449,0.968625763511125,228.9590597971039
118,0.75,Perfect information,0.17087118785754118,0.1818603381760337,0.9953735855099246,187.01467278177154
119,0.75,Perfect information,0.142516249413348,0.14807750881948742,0.9493192869395869,220.5822414387282
120,1.0,No information,0.07056325973135345,0.05040847659661488,0.11592850536146547,253.01514808525783
121,1.0,No information,0.07932596840898522,0.06747355422825643,-0.173594505506803,249.71889671801443
122,1.0,No information,0.06417577306990166,0.05346928843490558,-0.0015506621845801022,261.65843613853053
123,1.0,No information,0.05581322237033206,0.10526195123815077,-0.6564063878086633,231.48099724272342
124,1.0,No information,0.05748701637322975,0.13846382552561523,0.9627497969879926,211.95113771602658
125,1.0,No information,0.10195227908640551,0.07244586437227714,0.9377957949459307,263.2605507799942
126,1.0,No information,0.058156002624358404,0.10112497724661855,0.3734951718304175,242.495285961761
127,1.0,No information,0.1411699889930406,0.0337278411245714,0.9847232254802935,298.88703257991557
128,1.0,No information,0.06736565493208604,0.14163296762059713,-0.5387374990528566,234.24065339419468
129,1.0,No information,0.1369934466594262,0.03829329770207943,0.9521029523424982,282.41845958636884
130,1.0,Partial information,0.061203420475573055,0.19609004836407937,0.9931997374805177,152.42756880660787
131,1.0,Partial information,0.11646306992220659,0.04813870623550594,0.5450376887687407,279.014852172282
132,1.0,Partial information,0.1905736222072809,0.13947900927969625,0.9975814900847624,254.84844186854642
133,1.0,Partial information,0.090167390605019,0.12611289875998882,0.9914992195962572,205.47124005121455
134,1.0,Partial information,0.12626237317090833,0.04112305003183279,0.8934741355531998,284.0217720343392
135,1.0,Partial information,0.18577566074929552,0.11983338232305088,0.9967893973281152,301.47727113336805
136,1.0,Partial information,0.15310901504250465,0.18703853446151955,0.9980801662726024,214.02746922547513
137,1.0,Partial information,0.06291124286956033,0.07887352448173124,-0.10420276362235946,248.80184503733022
138,1.0,Partial information,0.11963603154448502,0.14451485472122708,0.9938841729030242,222.27629841246255
139,1.0,Partial information,0.08136059544418985,0.1765086796042569,0.9971978432629186,197.2571472934708
140,1.0,Perfect information,0.14121846822885026,0.039723198582439646,0.912476037082981,310.6624253089974
141,1.0,Perfect information,0.1323356185745528,0.14324567008936856,0.9971192599859202,208.2042864089203
142,1.0,Perfect information,0.17211568110434275,0.10383643541957781,0.9924039318946998,304.4334743010004
143,1.0,Perfect information,0.10100508526209462,0.11576403020200954,0.9776297410017195,207.5567330230511
144,1.0,Perfect information,0.19702119369205326,0.18800189839729806,0.9980457182961285,292.0186906381585
145,1.0,Perfect information,0.17539067888995336,0.14609790890459204,0.99920304014995,297.2732500704607
146,1.0,Perfect information,0.15108616319342388,0.13613132229211672,0.9980546978915062,293.2496063889415
147,1.0,Perfect information,0.1638040140753168,0.10986870436069165,0.9950919184819907,309.1488993630087
148,1.0,Perfect information,0.1214804736058513,0.16952564847118629,0.9939404604289428,217.3660696779458
149,1.0,Perfect information,0.12411055494789866,0.049028248889903654,0.23870767129350529,287.1150549479736
